Song,Artist,Song Popularity,Danceability,Energy,Tempo,Speechiness,Artist Genres,Artist Popularity,Artist uri,Song uri,Artist Image url
Where You Are,John Summit,78,0.56,0.832,126.0,0.0363,"['house', 'pop dance', 'tech house', 'uk dance']",65,7kNqXtgeIwFtelmRjWv205,4qDpLaFGf5ampf2DXD2TMA,https://i.scdn.co/image/ab6761610000f178a1637fa8a03e46f33223f3f2
Better Than This,John Summit,70,0.673,0.839,125.03,0.0373,"['house', 'pop dance', 'tech house', 'uk dance']",65,7kNqXtgeIwFtelmRjWv205,5OLSGox6JVpAyEQuoSYRcs,https://i.scdn.co/image/ab6761610000f178a1637fa8a03e46f33223f3f2
La Danza,John Summit,70,0.797,0.88,125.996,0.0442,"['house', 'pop dance', 'tech house', 'uk dance']",65,7kNqXtgeIwFtelmRjWv205,2FEUloDXMvRnyfLcsrCfkw,https://i.scdn.co/image/ab6761610000f178a1637fa8a03e46f33223f3f2
I Remember - John Summit Remix,John Summit,64,0.531,0.855,126.018,0.0335,"['house', 'pop dance', 'tech house', 'uk dance']",65,7kNqXtgeIwFtelmRjWv205,3zFsJdVCu29em7VUB3Ujqp,https://i.scdn.co/image/ab6761610000f178a1637fa8a03e46f33223f3f2
Deep End - SIDEPIECE Remix,John Summit,58,0.763,0.665,126.025,0.0807,"['house', 'pop dance', 'tech house', 'uk dance']",65,7kNqXtgeIwFtelmRjWv205,7JdiXX87BugXUDhQ89GEc8,https://i.scdn.co/image/ab6761610000f178a1637fa8a03e46f33223f3f2
What A Life (feat. Stevie Appleton),John Summit,68,0.677,0.732,126.018,0.031,"['house', 'pop dance', 'tech house', 'uk dance']",65,7kNqXtgeIwFtelmRjWv205,587xXusqiMW9gSXkNK8Zxf,https://i.scdn.co/image/ab6761610000f178a1637fa8a03e46f33223f3f2
Make Me Feel,John Summit,64,0.767,0.669,126.013,0.0449,"['house', 'pop dance', 'tech house', 'uk dance']",65,7kNqXtgeIwFtelmRjWv205,0RoGOiZUCQyqAZSPBSk75T,https://i.scdn.co/image/ab6761610000f178a1637fa8a03e46f33223f3f2
Human (feat. Echoes),John Summit,63,0.544,0.856,125.992,0.0314,"['house', 'pop dance', 'tech house', 'uk dance']",65,7kNqXtgeIwFtelmRjWv205,4G4patpYxsF6ovHZOX9wgR,https://i.scdn.co/image/ab6761610000f178a1637fa8a03e46f33223f3f2
Fade Out (with MKLA),John Summit,63,0.528,0.962,131.976,0.0514,"['house', 'pop dance', 'tech house', 'uk dance']",65,7kNqXtgeIwFtelmRjWv205,6gs5VDiNpbBfXHsAj2c9SB,https://i.scdn.co/image/ab6761610000f178a1637fa8a03e46f33223f3f2
Where You Are - GRiZ Remix,John Summit,63,0.333,0.79,139.437,0.0492,"['house', 'pop dance', 'tech house', 'uk dance']",65,7kNqXtgeIwFtelmRjWv205,47kEJq44ZBrRBD4gvdCu0v,https://i.scdn.co/image/ab6761610000f178a1637fa8a03e46f33223f3f2
I'm Good (Blue),David Guetta,91,0.561,0.965,128.04,0.0343,"['big room', 'dance pop', 'edm', 'pop', 'pop dance']",85,1Cs0zKBU1kc0i8ypK3B9ai,4uUG5RXrOk84mYEfFvj3cK,https://i.scdn.co/image/ab6761610000f178f150017ca69c8793503c2d4f
Baby Don't Hurt Me,David Guetta,87,0.602,0.91,127.944,0.0308,"['big room', 'dance pop', 'edm', 'pop', 'pop dance']",85,1Cs0zKBU1kc0i8ypK3B9ai,3BKD1PwArikchz2Zrlp1qi,https://i.scdn.co/image/ab6761610000f178f150017ca69c8793503c2d4f
Titanium (feat. Sia),David Guetta,72,0.604,0.788,126.06,0.103,"['big room', 'dance pop', 'edm', 'pop', 'pop dance']",85,1Cs0zKBU1kc0i8ypK3B9ai,0lHAMNU8RGiIObScrsRgmP,https://i.scdn.co/image/ab6761610000f178f150017ca69c8793503c2d4f
Memories (feat. Kid Cudi),David Guetta,70,0.561,0.87,129.98,0.343,"['big room', 'dance pop', 'edm', 'pop', 'pop dance']",85,1Cs0zKBU1kc0i8ypK3B9ai,4dTaAiV9xFFCxnPur9c9yL,https://i.scdn.co/image/ab6761610000f178f150017ca69c8793503c2d4f
On My Love,David Guetta,69,0.492,0.688,123.069,0.046,"['big room', 'dance pop', 'edm', 'pop', 'pop dance']",85,1Cs0zKBU1kc0i8ypK3B9ai,0K6iKgHPPhAb4Acmg9aD77,https://i.scdn.co/image/ab6761610000f178f150017ca69c8793503c2d4f
One in a Million,David Guetta,83,0.454,0.931,137.945,0.0321,"['big room', 'dance pop', 'edm', 'pop', 'pop dance']",85,1Cs0zKBU1kc0i8ypK3B9ai,3YfGTvsTAWGC2lgoDOikUz,https://i.scdn.co/image/ab6761610000f178f150017ca69c8793503c2d4f
Sexy Bitch (feat. Akon),David Guetta,68,0.813,0.627,130.011,0.0486,"['big room', 'dance pop', 'edm', 'pop', 'pop dance']",85,1Cs0zKBU1kc0i8ypK3B9ai,0uXO2GrNiIb1xHT9LUdxZE,https://i.scdn.co/image/ab6761610000f178f150017ca69c8793503c2d4f
Remember (with David Guetta),David Guetta,72,0.626,0.864,123.833,0.0378,"['big room', 'dance pop', 'edm', 'pop', 'pop dance']",85,1Cs0zKBU1kc0i8ypK3B9ai,6feiJqgHqeSvkGUzf11AYs,https://i.scdn.co/image/ab6761610000f178f150017ca69c8793503c2d4f
Love Tonight (David Guetta Remix Edit),David Guetta,80,0.621,0.989,126.002,0.0434,"['big room', 'dance pop', 'edm', 'pop', 'pop dance']",85,1Cs0zKBU1kc0i8ypK3B9ai,2prnn41CblB8B4yWACDljP,https://i.scdn.co/image/ab6761610000f178f150017ca69c8793503c2d4f
Crazy What Love Can Do,David Guetta,79,0.601,0.713,122.872,0.0449,"['big room', 'dance pop', 'edm', 'pop', 'pop dance']",85,1Cs0zKBU1kc0i8ypK3B9ai,1WCEAGGRD066z2Q89ObXTq,https://i.scdn.co/image/ab6761610000f178f150017ca69c8793503c2d4f
